id,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
68942,13dOCMI6S2yLVvmC3CgDW5,Julianno Sosa;Keylon;Ak4:20,No Saen,El Extendo,39,174915,True,0.833,0.601,5,-7.644,1,0.248,0.22,1.46e-06,0.17,0.774,140.008,4,latino
90689,44bOIQWj4jrb5L11ClihCc,Roberto Jordan;Estela Nuñez,"1,2,3 ¡Detente!",Una Razón para Creer (Reason to Believe),31,142813,False,0.546,0.265,1,-19.949,1,0.0269,0.375,4.15e-06,0.122,0.597,93.68,4,rock-n-roll
66793,2g1EQO48cbVQy3YEGAe7rS,Mixx Master Lee,The Mississippi Cha Cha Slide A.K.A. STOMP 2007,"Featuring Mixx Master Lee, Red Rum & J. Smoov (Funky Mix)",7,341933,False,0.981,0.675,0,-8.094,1,0.081,0.0291,0.0,0.122,0.854,113.995,4,kids
45972,7lVrGPpy0wF0l5uUGkm2u6,Eddy Tyler,Guitar Instrumental Covers,River Flows In You,36,384000,False,0.458,0.315,9,-14.259,1,0.0661,0.922,0.692,0.0954,0.261,134.27,4,guitar
37579,5pdr2j2EGUed6kAh3ZmJdC,Curtis Mayfield,Thanksgiving Party,The Makings of You,0,223866,False,0.368,0.431,5,-11.191,1,0.0574,0.758,8.97e-06,0.113,0.569,76.472,4,funk
75598,6FzHE3kP07aynMjuCIqdb1,Paul Cardall,Hymns Vol. 2,How Gentle God's Command,22,140080,False,0.415,0.125,5,-18.296,1,0.0456,0.991,0.901,0.117,0.368,107.336,3,new-age
77298,3mhM15Y7CH8QbcAkl4DC9E,Thiaguinho,Meu Nome É Thiago André (Ao Vivo),Final Feliz - Ao Vivo,48,198143,False,0.409,0.701,2,-7.124,1,0.0937,0.618,0.0,0.647,0.553,195.878,4,pagode
62630,2DiXeuEpop3BfGDGxW8iVz,WANIMA,Can Not Behaved!!,Hey Lady,37,73226,False,0.456,0.935,9,-2.185,1,0.0883,4.28e-05,0.0,0.368,0.486,115.019,4,j-pop
72781,7rKT0Jkav0cc9BB1XA3BrB,Cancer Bats,Birthing the Giants,Pneumonia Hawk,26,225773,False,0.169,0.914,2,-4.55,0,0.0662,2.88e-05,0.031,0.393,0.342,94.274,4,metalcore
52126,5BagMLXQRdSzbzzK5oRwzv,George Jones,The Very Best Of George Jones (Original Musicor Records Recordings),Wrapped Around Her Finger,19,170946,False,0.53,0.196,10,-16.187,1,0.0285,0.797,1.61e-06,0.0975,0.583,105.624,4,honky-tonk
21720,1dQr0yyC5JEqjhEyA1BtUR,HarrySong;Rudeboy,Right About Now,Konna,53,200387,False,0.809,0.745,7,-5.34,1,0.174,0.138,0.0,0.334,0.897,102.967,4,dancehall
41793,5w293xv3cYovY8z22bFUjB,New Model Army,The Ghost Of Cain (Bonus Content),51st State - 2005 Remaster,21,158040,False,0.493,0.758,9,-8.544,0,0.0607,0.0971,0.0,0.0879,0.71,180.41,4,goth
98849,5fSCYh1lTUep7vxSJKKrmp,Chess In Concert,Chess In Concert,1956 - Budapest Is Rising,21,66213,False,0.435,0.226,9,-10.653,1,0.0508,0.916,0.0,0.702,0.513,81.11,1,show-tunes
25258,5MoDQWMDMaAGDEiWsJfeCi,The Bangles,The Essential Bangles,Eternal Flame,68,238026,False,0.526,0.358,4,-7.239,0,0.0243,0.525,0.0,0.0942,0.399,78.989,3,disco
34686,3yh868JqnG9MnVbwpyJ2Pc,Lights,Perfect Christmas Hits,Happy Xmas (War Is Over),0,235354,False,0.373,0.256,2,-12.95,1,0.0298,0.301,0.000922,0.28,0.0973,149.919,3,folk
106695,4mEqYN7XWHsxutgApicsG4,Lars Winnerbäck,Granit och morän,Visst har vi glömt,36,283986,False,0.557,0.553,1,-8.735,0,0.0283,0.232,0.000361,0.136,0.466,132.848,4,swedish
60640,2xJcg6YRu6plN23LQhvMP0,Chi Ching Ching,Turning Tables,Rice & Peas,20,154012,False,0.821,0.84,6,-1.302,0,0.186,0.143,0.0,0.205,0.638,106.095,4,j-dance
54478,02gfe0xcLymHXarFnaNLnL,Ilkae,Pistachio Island,Sink Lateral,12,40893,False,0.678,0.401,10,-9.875,0,0.0555,0.971,0.947,0.105,0.919,82.614,4,idm
76833,43huEizyHCgjqLxx6D62My,Georges Bizet;Orquestra Simfònica de Barcelona i Nacional de Catalunya;Pablo González,Bizet: Carmen & L'arlésienne Suites,L’arlésienne Suite No. 2 (Arr. E. Guiraud): I. Pastorale,21,323293,False,0.272,0.0314,9,-26.745,1,0.041,0.946,0.939,0.113,0.0741,116.587,3,opera
65784,7cMKz5MoUTPH2N4yqpAUAO,Anuradha Paudwal;Kumar Sanu,Ultimate Romantic Duet - Kumar Sanu & Anuradha Paudwal,"Tu Meri Zindagi Hai (From ""Aashiqui"")",47,285280,False,0.507,0.56,10,-7.177,0,0.034,0.878,0.000572,0.338,0.592,127.318,4,k-pop
